id,report_id,waste_material_id,created_at,updated_at,deleted_at
546effea-9b90-4f8a-bcec-5f8f8ed44e09,RPT0052,MTR01,2024-06-15 13:03:37.668,2024-06-15 13:03:37.668,
58495c3e-94d7-445d-9cbd-2f05ce0447ed,RPT0048,MTR05,2024-06-15 13:03:37.644,2024-06-15 13:03:37.644,
5918a49c-74b1-412a-89f2-4b395cc8aa1d,RPT0132,MTR01,2024-06-19 10:52:32.592,2024-06-19 10:52:32.592,
597b41f0-ca79-44f8-bc1c-85dafc40e97d,RPT0028,MTR01,2024-06-15 13:03:37.530,2024-06-15 13:03:37.530,
5c909a11-a3ac-4a62-9811-63f8e847c1ec,RPT0014,MTR07,2024-06-15 13:03:37.465,2024-06-15 13:03:37.465,
5dac6e0d-51a8-4b07-afa8-05e31e7c64c5,RPT0095,MTR01,2024-06-15 13:03:37.886,2024-06-15 13:03:37.886,
5ffc4270-fb98-45d5-b31e-3ec5f6fd343c,RPT0090,MTR03,2024-06-15 13:03:37.858,2024-06-15 13:03:37.858,
6070116d-4de5-4d4a-b3cb-7e67a25c5ea2,RPT0059,MTR02,2024-06-15 13:03:37.726,2024-06-15 13:03:37.726,
6167849c-8809-4651-ab66-8f2913596238,RPT0029,MTR02,2024-06-15 13:03:37.538,2024-06-15 13:03:37.538,
62210f3b-4d25-467a-8bfc-a9055b05bf5c,RPT0068,MTR04,2024-06-15 13:03:37.758,2024-06-15 13:03:37.758,
6286d5fa-5384-4cbe-9f92-ad00f43e567b,RPT0002,MTR03,2024-06-15 13:03:37.414,2024-06-15 13:03:37.414,
640a1bf4-daa8-48f3-8b28-1a874ec03899,RPT0127,MTR02,2024-06-19 03:45:36.770,2024-06-19 03:45:36.770,
64fba1d4-afd1-430e-9e4d-0ff0fa0f6658,RPT0031,MTR02,2024-06-15 13:03:37.546,2024-06-15 13:03:37.546,
651076ae-c52f-444b-8076-b9a87674c5d0,RPT0075,MTR04,2024-06-15 13:03:37.799,2024-06-15 13:03:37.799,
6542f19e-81c8-40ce-b107-b56aff265e6e,RPT0068,MTR04,2024-06-15 13:03:37.765,2024-06-15 13:03:37.765,
69b00d0b-2d42-441a-8dcc-5e9af28c5832,RPT0085,MTR05,2024-06-15 13:03:37.820,2024-06-15 13:03:37.820,
6ae74a46-9332-45ce-8b0b-cedaa6620440,RPT0124,MTR01,2024-06-19 02:39:17.264,2024-06-19 02:39:17.264,
6c35c84b-12cc-477b-9cbc-0302455eb127,RPT0022,MTR04,2024-06-15 13:03:37.511,2024-06-15 13:03:37.511,
6d83cd53-f8c0-4ecb-8764-3b53f386a733,RPT0039,MTR07,2024-06-15 13:03:37.591,2024-06-15 13:03:37.591,
6ee74c24-ede0-4ef4-8bd3-3dae2801f386,RPT0027,MTR04,2024-06-15 13:03:37.518,2024-06-15 13:03:37.518,
6fbf9ff7-0229-4f06-b018-70fff0d8061e,RPT0012,MTR09,2024-06-15 13:03:37.453,2024-06-15 13:03:37.453,
72646384-3e3c-45a5-8f9f-dbec02b59473,RPT0130,MTR01,2024-06-19 04:20:55.469,2024-06-19 04:20:55.469,
7682c2a7-28af-46c4-a932-7270293c374b,RPT0045,MTR08,2024-06-15 13:03:37.634,2024-06-15 13:03:37.634,
772e71f5-e77b-48d0-9c60-335b7bb20686,RPT0014,MTR03,2024-06-15 13:03:37.469,2024-06-15 13:03:37.469,
77938a8c-da78-4637-a635-7cc2a5cc528c,RPT0057,MTR04,2024-06-15 13:03:37.705,2024-06-15 13:03:37.705,
78a025ee-0420-4df3-9fba-1a0765cba708,RPT0039,MTR06,2024-06-15 13:03:37.595,2024-06-15 13:03:37.595,
7c0d5a12-f072-47d9-a8dd-f12ec206d5b7,RPT0062,MTR01,2024-06-15 13:03:37.737,2024-06-15 13:03:37.737,
7d7870cf-c268-4fc1-8559-97a51ed02342,RPT0124,MTR02,2024-06-19 02:39:17.268,2024-06-19 02:39:17.268,
7fe2f8db-8ad7-4bc1-bf10-e7f6d1d1ea3a,RPT0104,MTR01,2024-06-18 18:54:51.210,2024-06-18 18:54:51.210,
809a78b6-e285-434b-afcb-32e93fbe433f,RPT0005,MTR02,2024-06-15 13:03:37.418,2024-06-15 13:03:37.418,
81d0021e-5775-4c40-9b87-672a2b629a43,RPT0060,MTR08,2024-06-15 13:03:37.734,2024-06-15 13:03:37.734,
8879e51d-6745-4afc-a58b-03e33cf96599,RPT0013,MTR10,2024-06-15 13:03:37.461,2024-06-15 13:03:37.461,
8945ff8b-3478-46ff-9174-33cefab0f048,RPT0130,MTR02,2024-06-19 04:20:55.474,2024-06-19 04:20:55.474,
8d05636c-5ad7-492a-87d1-a45e6ed49243,RPT0033,MTR05,2024-06-15 13:03:37.561,2024-06-15 13:03:37.561,
8d2791f3-30b7-4681-989e-00ecc7cd3ed8,RPT0038,MTR03,2024-06-15 13:03:37.583,2024-06-15 13:03:37.583,
8debe17e-7314-4bff-964d-162abac2c80f,RPT0027,MTR03,2024-06-15 13:03:37.522,2024-06-15 13:03:37.522,
8f14c3bf-3c57-4e0a-9ad2-5f4ef1b2bc1d,RPT0062,MTR04,2024-06-15 13:03:37.741,2024-06-15 13:03:37.741,
8f617144-c038-4c87-80cb-a558b2d5810f,RPT0069,MTR01,2024-06-15 13:03:37.773,2024-06-15 13:03:37.773,
8fdd9d08-733a-4e2b-bc5c-1ff439baf14c,RPT0117,MTR01,2024-06-18 19:19:08.405,2024-06-18 19:19:08.405,
908d1818-1899-4628-9f32-46e8811978c2,RPT0066,MTR02,2024-06-15 13:03:37.753,2024-06-15 13:03:37.753,
9374d4fa-e090-4df0-9921-b290e5899f6f,RPT0028,MTR04,2024-06-15 13:03:37.526,2024-06-15 13:03:37.526,
93dae66a-c78f-4e08-86e3-ea16f00c4337,RPT0089,MTR05,2024-06-15 13:03:37.841,2024-06-15 13:03:37.841,
951ec595-0cef-4c8d-a08a-b46ca77d488f,RPT0128,MTR01,2024-06-19 03:45:37.704,2024-06-19 03:45:37.704,
95f8cacc-2699-4382-a429-604a2a4a8823,RPT0127,MTR01,2024-06-19 03:45:36.766,2024-06-19 03:45:36.766,
9616b8ce-333d-4514-90db-3891cedb4b9d,RPT0081,MTR10,2024-06-15 13:03:37.811,2024-06-15 13:03:37.811,
962c3624-438e-47bb-9292-db98318c53b6,RPT0122,MTR01,2024-06-19 01:48:23.184,2024-06-19 01:48:23.184,
96b85a58-4c6b-481d-b6d4-a1169185c893,RPT0043,MTR05,2024-06-15 13:03:37.612,2024-06-15 13:03:37.612,
9709c461-d54f-444b-bed2-133b6b818c51,RPT0092,MTR08,2024-06-15 13:03:37.871,2024-06-15 13:03:37.871,
9716760d-76b0-4518-9dd0-8b2b18f87628,RPT0069,MTR10,2024-06-15 13:03:37.781,2024-06-15 13:03:37.781,
9809ab68-a549-4712-ac1b-b9488717c2d7,RPT0065,MTR09,2024-06-15 13:03:37.745,2024-06-15 13:03:37.745,
99b1fbb6-a9ea-4e30-862a-0aa29d22bc2a,RPT0018,MTR07,2024-06-15 13:03:37.498,2024-06-15 13:03:37.498,
9c4ab7cf-c557-4fba-89cd-0345bf0b0cde,RPT0129,MTR01,2024-06-19 03:52:42.078,2024-06-19 03:52:42.078,
9daeb632-ffd3-481d-8045-6ceb0535e471,RPT0069,MTR02,2024-06-15 13:03:37.777,2024-06-15 13:03:37.777,
a11b23f6-3b59-4464-b3f8-f054448b5f25,RPT0131,MTR02,2024-06-19 04:20:58.506,2024-06-19 04:20:58.506,
a1477f79-53ef-40eb-8bda-f6866aafa067,RPT0107,MTR01,2024-06-18 19:02:23.146,2024-06-18 19:02:23.146,
a19c28f9-a41f-4f9f-b1df-71e33c034c3a,RPT0112,MTR04,2024-06-18 19:09:34.596,2024-06-18 19:09:34.596,
a5a28bc2-718a-4020-a847-3248af020877,RPT0008,MTR04,2024-06-15 13:03:37.441,2024-06-15 13:03:37.441,
a5f75db2-326e-46a7-9cd8-3aff315c0782,RPT0006,MTR02,2024-06-15 13:03:37.437,2024-06-15 13:03:37.437,
a7f695f9-f6d7-4956-b5a4-36e97278e02c,RPT0090,MTR01,2024-06-15 13:03:37.854,2024-06-15 13:03:37.854,
a8dc1e4b-d1b9-4e11-949c-89fba8ba0302,RPT0036,MTR03,2024-06-15 13:03:37.571,2024-06-15 13:03:37.571,
a9e37be5-dfbc-468a-ae0f-2e9c48c5ab60,RPT0085,MTR06,2024-06-15 13:03:37.825,2024-06-15 13:03:37.825,
aa0b60b2-c2f3-4fcc-b11c-67dddf6c6acb,RPT0015,MTR10,2024-06-15 13:03:37.475,2024-06-15 13:03:37.475,
aa24f41e-d0c0-4763-9075-4c1ab9ff6dd3,RPT0080,MTR07,2024-06-15 13:03:37.807,2024-06-15 13:03:37.807,
acd5fc5a-134c-4e43-a00f-8455555e119a,RPT0038,MTR08,2024-06-15 13:03:37.587,2024-06-15 13:03:37.587,
ad060eed-66f0-4012-af9f-773ef7f2575c,RPT0133,MTR02,2024-06-19 11:03:02.680,2024-06-19 11:03:02.680,
adcc1289-76c2-430f-bbbb-c3d8eada2719,RPT0052,MTR02,2024-06-15 13:03:37.672,2024-06-15 13:03:37.672,
adf68edb-f55f-4ff6-b2bb-11a4643dab1d,RPT0118,MTR03,2024-06-18 19:49:56.741,2024-06-18 19:49:56.741,
aedd379b-a5ab-4d10-89cf-9badf7d35e6e,RPT0033,MTR07,2024-06-15 13:03:37.566,2024-06-15 13:03:37.566,
b3290060-659e-4e3d-b069-cd6c223a3141,RPT0033,MTR10,2024-06-15 13:03:37.554,2024-06-15 13:03:37.554,
b4aafb06-245a-4cd2-8928-4555abf19539,RPT0128,MTR02,2024-06-19 03:45:37.708,2024-06-19 03:45:37.708,
b77d6236-8b8b-4a8d-9c12-e4dfc6a5e4a6,RPT0093,MTR09,2024-06-15 13:03:37.875,2024-06-15 13:03:37.875,
b7a38649-1c8b-4ce4-9a3c-ff2c60581014,RPT0096,MTR05,2024-06-15 13:03:37.898,2024-06-15 13:03:37.898,
b86819df-8fad-4c75-9d26-8abf5699ddbd,RPT0017,MTR08,2024-06-15 13:03:37.485,2024-06-15 13:03:37.485,
ba07be81-5b42-47db-8fab-7b9e0060cf6e,RPT0133,MTR01,2024-06-19 11:03:02.675,2024-06-19 11:03:02.675,
ba46bfec-ddb3-40df-a89c-4fd830e5509c,RPT0031,MTR08,2024-06-15 13:03:37.550,2024-06-15 13:03:37.550,
bb0dc07e-2d76-45ba-9bf2-a5dd78603519,RPT0070,MTR09,2024-06-15 13:03:37.786,2024-06-15 13:03:37.786,
be9f0349-e612-44d6-8695-72f3c2de2319,RPT0058,MTR09,2024-06-15 13:03:37.709,2024-06-15 13:03:37.709,
bf7d2339-c7d0-4485-9c39-76930a7e8e28,RPT0098,MTR05,2024-06-15 13:03:37.902,2024-06-15 13:03:37.902,
c25dd2a0-ddcb-437a-b4bc-a89715e95cb0,RPT0057,MTR07,2024-06-15 13:03:37.701,2024-06-15 13:03:37.701,
c3d894ee-1fd7-481a-8c62-723f47b357bb,RPT0058,MTR03,2024-06-15 13:03:37.714,2024-06-15 13:03:37.714,
c68ac97e-7e4c-488c-bc64-dcdf54b01f24,RPT0044,MTR03,2024-06-15 13:03:37.630,2024-06-15 13:03:37.630,
c70fcccf-512e-448f-91fd-68fade44dd3b,RPT0120,MTR01,2024-06-18 19:59:38.225,2024-06-18 19:59:38.225,
cba1b631-57c8-444e-894a-7966cda473bf,RPT0108,MTR04,2024-06-18 19:03:11.910,2024-06-18 19:03:11.910,
cc7b5ac8-1dd2-4c5a-a715-3299bdaf6eb0,RPT0085,MTR01,2024-06-15 13:03:37.829,2024-06-15 13:03:37.829,
d005745b-a79f-40ff-ba47-5a795554fe6c,RPT0070,MTR02,2024-06-15 13:03:37.790,2024-06-15 13:03:37.790,
d199bf8b-824d-45b3-a367-84aa3554fbe7,RPT0095,MTR03,2024-06-15 13:03:37.883,2024-06-15 13:03:37.883,
d22bd36d-bfe6-4bec-bd16-6f77e9c44dd1,RPT0123,MTR04,2024-06-19 02:31:26.778,2024-06-19 02:31:26.778,
d561d6ac-408f-43e9-977b-ff639b37a8e8,RPT0125,MTR04,2024-06-19 03:31:04.233,2024-06-19 03:31:04.233,
db59d38c-1a7a-4ccd-ae95-38f9cbbaa974,RPT0030,MTR07,2024-06-15 13:03:37.542,2024-06-15 13:03:37.542,
db961126-e583-4f75-926b-78e7ac00f421,RPT0058,MTR04,2024-06-15 13:03:37.722,2024-06-15 13:03:37.722,
dc5a312f-85ac-4c70-b2bd-80d53693d21b,RPT0040,MTR04,2024-06-15 13:03:37.604,2024-06-15 13:03:37.604,
ddd0367c-157e-4f9e-9af3-e14ce8c0e118,RPT0008,MTR05,2024-06-15 13:03:37.449,2024-06-15 13:03:37.449,
dde9d9b6-25fc-4e41-8b00-ae120a8d9c11,RPT0133,MTR04,2024-06-19 11:03:02.688,2024-06-19 11:03:02.688,
defe2ab0-ec33-47d7-b760-85971ffb7be2,RPT0048,MTR09,2024-06-15 13:03:37.647,2024-06-15 13:03:37.647,
e0bf1cb5-febe-4b5b-95ff-4e9cf0c323bc,RPT0093,MTR09,2024-06-15 13:03:37.879,2024-06-15 13:03:37.879,
e196ce81-668c-400e-a1f0-ec0d0118620e,RPT0052,MTR09,2024-06-15 13:03:37.675,2024-06-15 13:03:37.675,
e8230081-2eb0-4b76-9d34-30bafafec871,RPT0017,MTR08,2024-06-15 13:03:37.489,2024-06-15 13:03:37.489,
e948447a-da45-4a5c-8329-2cb2d4f75105,RPT0008,MTR01,2024-06-15 13:03:37.444,2024-06-15 13:03:37.444,
e95e82b5-9640-4b38-979d-18c54bc04b46,RPT0121,MTR01,2024-06-18 20:01:18.457,2024-06-18 20:01:18.457,
eb7b01da-b49e-4c37-aa44-8ba8bee03a70,RPT0040,MTR01,2024-06-15 13:03:37.608,2024-06-15 13:03:37.608,
eeccea4f-b256-427f-958b-cf2ca89fb61a,RPT0113,MTR04,2024-06-18 19:10:19.313,2024-06-18 19:10:19.313,
eefe818c-83cf-4456-8f83-16a0a6441e0d,RPT0103,MTR01,2024-06-18 18:48:42.085,2024-06-18 18:48:42.085,
ef045b93-cc3c-444c-90c9-9cd153e42a12,RPT0110,MTR04,2024-06-18 19:03:36.408,2024-06-18 19:03:36.408,
efc51675-0b73-4e53-b8de-41acea3c071f,RPT0111,MTR04,2024-06-18 19:08:06.316,2024-06-18 19:08:06.316,
f0fdd5ec-5c85-4b21-922d-234b6da5e643,RPT0109,MTR04,2024-06-18 19:03:18.096,2024-06-18 19:03:18.096,
f112b132-ee93-44dd-b917-be6ce0adb1a6,RPT0090,MTR03,2024-06-15 13:03:37.849,2024-06-15 13:03:37.849,
f1361997-11ee-4c86-a210-b89da2013949,RPT0118,MTR01,2024-06-18 19:49:56.731,2024-06-18 19:49:56.731,
f2ccc59e-0e9e-4ff6-b6ea-233263cc654d,RPT0133,MTR03,2024-06-19 11:03:02.684,2024-06-19 11:03:02.684,
f337bc3a-6c03-4402-97b8-18a54284e76e,RPT0116,MTR02,2024-06-18 19:15:42.282,2024-06-18 19:15:42.282,
f8a086e5-70f9-48e4-b3e7-7373bc595f74,RPT0013,MTR05,2024-06-15 13:03:37.457,2024-06-15 13:03:37.457,
fb3a9ef1-6002-4eac-8aff-1c328de98dd1,RPT0096,MTR05,2024-06-15 13:03:37.890,2024-06-15 13:03:37.890,
fccc275b-e8b4-430e-885f-47d419075ab5,RPT0049,MTR06,2024-06-15 13:03:37.652,2024-06-15 13:03:37.652,
ffb4e8ef-f3a3-4921-89e5-d2d1fde7dcd8,RPT0002,MTR10,2024-06-15 13:03:37.408,2024-06-15 13:03:37.408,
